           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
------------------------------------------------------------------------------------------------------
           -32.05               69            189.2     3.165715e-06     -0.044618312   -1.9457777e-05
           -31.05               69            189.2    2.8881529e-06     -0.044617526   -1.9130232e-05
           -30.05               69            189.2    2.6564376e-06     -0.044616792   -1.8816942e-05
           -29.05               69            189.2    2.4717024e-06     -0.044616096    -1.852887e-05
           -28.05               69            189.2    2.3679377e-06     -0.044615272   -1.8588677e-05
           -27.05               69            189.2    2.2605273e-06      -0.04461436    -1.881772e-05
           -26.05               69            189.2    2.1361159e-06      -0.04461373   -1.8742268e-05
           -25.05               69            189.2    2.0952925e-06     -0.044613831   -1.8072958e-05
           -24.05               69            189.2    1.9064247e-06     -0.044613749   -1.7762864e-05
           -23.05               69            189.2    1.6187372e-06     -0.044613633   -1.7389217e-05
           -32.05               69            190.2    3.3519443e-06     -0.044624899   -2.2381599e-05
           -31.05               69            190.2    3.0800954e-06     -0.044624098   -2.1997619e-05
           -30.05               69            190.2     2.854094e-06     -0.044623353   -2.1627893e-05
           -29.05               69            190.2     2.673939e-06      -0.04462266   -2.1272412e-05
           -28.05               69            190.2      2.43619e-06     -0.044622049   -2.1197924e-05
           -27.05               69            190.2    2.2815618e-06     -0.044621136   -2.1298116e-05
           -26.05               69            190.2    2.0690272e-06     -0.044620175   -2.1397165e-05
           -25.05               69            190.2    1.9970273e-06         -0.04462   -2.1035918e-05
           -24.05               69            190.2    1.8383691e-06     -0.044619828   -2.0588805e-05
           -23.05               69            190.2    1.6623608e-06     -0.044619299   -2.0221323e-05
           -32.05               69            191.2    3.5352136e-06     -0.044631865   -2.5517844e-05
           -31.05               69            191.2    3.2690791e-06     -0.044631056   -2.5077434e-05
           -30.05               69            191.2    3.0487902e-06     -0.044630285   -2.4651265e-05
           -29.05               69            191.2    2.8984127e-06     -0.044629619   -2.4338913e-05
           -28.05               69            191.2    2.6370858e-06     -0.044628963   -2.4288862e-05
           -27.05               69            191.2    2.3687135e-06     -0.044627987   -2.4299108e-05
           -26.05               69            191.2    2.1109415e-06     -0.044626936   -2.4377885e-05
           -25.05               69            191.2    1.9734789e-06     -0.044626426   -2.4051898e-05
           -24.05               69            191.2    1.8450305e-06     -0.044626173   -2.3467761e-05
           -23.05               69            191.2    1.7454659e-06     -0.044625275   -2.3195909e-05
           -32.05               69            192.2    3.6849847e-06     -0.044639226     -2.88762e-05
           -31.05               69            192.2    3.4551026e-06     -0.044638388   -2.8369666e-05
           -30.05               69            192.2    3.2405292e-06      -0.04463762   -2.7887078e-05
           -29.05               69            192.2     3.253753e-06     -0.044637021   -2.7735343e-05
           -28.05               69            192.2    2.9602659e-06     -0.044636175   -2.7449438e-05
           -27.05               69            192.2    2.5731167e-06     -0.044635102   -2.7280805e-05
           -26.05               69            192.2    2.2701076e-06     -0.044633962   -2.7339313e-05
           -25.05               69            192.2    2.0246482e-06     -0.044633131   -2.7120892e-05
           -24.05               69            192.2    1.9350628e-06     -0.044632535   -2.6566766e-05
           -23.05               69            192.2    1.8506689e-06     -0.044631612   -2.6294099e-05
           -32.05               69            193.2    3.8162598e-06     -0.044647064   -3.2439995e-05
           -31.05               69            193.2    3.6381682e-06     -0.044646099   -3.1874333e-05
           -30.05               69            193.2    3.6923402e-06     -0.044645444   -3.1522886e-05
           -29.05               69            193.2    3.7313775e-06     -0.044644713   -3.1201409e-05
           -28.05               69            193.2    3.4057316e-06       -0.0446437   -3.0679654e-05
           -27.05               69            193.2    2.8947716e-06     -0.044642475   -3.0243209e-05
           -26.05               69            193.2     2.546526e-06      -0.04464126   -3.0281451e-05
           -25.05               69            193.2    2.1505341e-06     -0.044640098   -3.0242902e-05
           -24.05               69            193.2    2.0607788e-06     -0.044639103   -2.9864797e-05
           -23.05               69            193.2    1.9994477e-06     -0.044638913   -2.9652992e-05
           -32.05               69            194.2    3.9892611e-06     -0.044655323   -3.6184916e-05
           -31.05               69            194.2      3.95285e-06     -0.044654258   -3.5651512e-05
           -30.05               69            194.2    4.2544966e-06     -0.044653974   -3.5185636e-05
           -29.05               69            194.2    4.1526619e-06     -0.044653825   -3.4445238e-05
           -28.05               69            194.2    3.7281065e-06     -0.044653479   -3.3551398e-05
           -27.05               69            194.2    2.9847765e-06     -0.044652924   -3.2510499e-05
           -26.05               69            194.2    2.6995256e-06     -0.044651404   -3.2491509e-05
           -25.05               69            194.2    2.4320263e-06     -0.044649776   -3.3329408e-05
           -24.05               69            194.2    2.3671619e-06     -0.044649314   -3.4077435e-05
           -23.05               69            194.2    2.2844763e-06     -0.044649564   -3.3883425e-05
           -32.05               69            195.2    4.1425092e-06     -0.044667054   -3.8433249e-05
           -31.05               69            195.2    4.1018757e-06     -0.044665746   -3.8656239e-05
           -30.05               69            195.2    4.3508553e-06     -0.044665754   -3.7973863e-05
           -29.05               69            195.2    4.3049718e-06      -0.04466562   -3.7087517e-05
           -28.05               69            195.2    3.9363676e-06     -0.044665299   -3.6047732e-05
           -27.05               69            195.2    3.2450403e-06     -0.044664778   -3.4854493e-05
           -26.05               69            195.2    2.7454846e-06     -0.044663589   -3.4221375e-05
           -25.05               69            195.2    2.7840101e-06     -0.044661541   -3.6806799e-05
           -24.05               69            195.2    2.7288474e-06     -0.044660307    -3.861724e-05
           -23.05               69            195.2    2.5972622e-06     -0.044660401    -3.830668e-05
           -32.05               69            196.2    4.3371165e-06     -0.044680011   -4.0701118e-05
           -31.05               69            196.2    4.4233093e-06     -0.044678666   -4.1028285e-05
           -30.05               69            196.2    4.5161623e-06     -0.044678085   -4.0696836e-05
           -29.05               69            196.2    4.5262295e-06     -0.044677977   -3.9664545e-05
           -28.05               69            196.2    4.2135757e-06     -0.044677675   -3.8478815e-05
           -27.05               69            196.2    3.5583735e-06     -0.044677109   -3.7260135e-05
           -26.05               69            196.2    2.9811624e-06     -0.044675857   -3.7405247e-05
           -25.05               69            196.2    3.1219092e-06     -0.044673502   -4.0459781e-05
           -24.05               69            196.2    3.1142267e-06     -0.044671565   -4.3222601e-05
           -23.05               69            196.2    2.9378057e-06     -0.044671442   -4.2922766e-05
           -32.05               69            197.2     4.604331e-06     -0.044693042   -4.4476899e-05
           -31.05               69            197.2    4.7538119e-06     -0.044691656   -4.4430046e-05
           -30.05               69            197.2      4.69319e-06     -0.044690374   -4.4440745e-05
           -29.05               69            197.2    4.6602227e-06     -0.044689752   -4.4105011e-05
           -28.05               69            197.2     4.257899e-06      -0.04468891   -4.3558888e-05
           -27.05               69            197.2    3.5041728e-06      -0.04468783   -4.2817217e-05
           -26.05               69            197.2    3.4004245e-06     -0.044687383   -4.2603511e-05
           -25.05               69            197.2    3.4457214e-06     -0.044685647   -4.4288325e-05
           -24.05               69            197.2    3.4712243e-06     -0.044683531   -4.6980487e-05
           -23.05               69            197.2    3.3061074e-06     -0.044682663   -4.7731675e-05
           -32.05               69            198.2    4.8981497e-06     -0.044705078   -5.0948864e-05
           -31.05               69            198.2    5.0710655e-06     -0.044703443   -5.0764884e-05
           -30.05               69            198.2    4.9750297e-06     -0.044701774   -5.0683335e-05
           -29.05               69            198.2    4.8136326e-06     -0.044700731   -5.0257317e-05
           -28.05               69            198.2    4.3859368e-06     -0.044699747   -4.9475031e-05
           -27.05               69            198.2    4.0449131e-06     -0.044699136   -4.8961207e-05
           -26.05               69            198.2     3.899584e-06     -0.044698689    -4.859822e-05
           -25.05               69            198.2    3.7554469e-06     -0.044697978    -4.829243e-05
           -24.05               69            198.2    3.8141366e-06      -0.04469569   -5.0913954e-05
           -23.05               69            198.2    3.7260456e-06     -0.044693857   -5.2018353e-05
           -32.05               69            199.2    5.3036324e-06     -0.044717215   -5.7409001e-05
