           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
------------------------------------------------------------------------------------------------------
           -244.9               64             5.13     0.0017279711    -0.0013089548    0.00085655326
           -243.9               64             5.13     0.0017851613    -0.0013513446     0.0008825183
           -242.9               64             5.13     0.0018430847    -0.0013939802    0.00090881326
           -241.9               64             5.13     0.0019017414    -0.0014368619    0.00093543797
           -240.9               64             5.13     0.0019611313    -0.0014799893    0.00096239225
           -239.9               64             5.13     0.0020212552    -0.0015233626    0.00098967645
           -238.9               64             5.13     0.0020821127    -0.0015669819     0.0010172905
           -237.9               64             5.13     0.0021437029    -0.0016108467     0.0010452342
           -236.9               64             5.13     0.0022060273    -0.0016549577     0.0010735078
           -235.9               64             5.13      0.002274625    -0.0016952066     0.0011073308
           -234.9               64             5.13     0.0023530566    -0.0017362871      0.001142655
           -244.9               65             5.13     0.0016971923    -0.0013636667    0.00084037124
           -243.9               65             5.13     0.0017532859     -0.001407288    0.00086601113
           -242.9               65             5.13     0.0018101125    -0.0014511549    0.00089198048
           -241.9               65             5.13     0.0018676727     -0.001495268    0.00091827987
           -240.9               65             5.13      0.001925966    -0.0015396265    0.00094490882
           -239.9               65             5.13     0.0019849935    -0.0015842314     0.0009718677
           -238.9               65             5.13     0.0020447536    -0.0016290818    0.00099915604
           -237.9               65             5.13     0.0021052477    -0.0016741781     0.0010267744
           -236.9               65             5.13     0.0021664752    -0.0017195203     0.0010547226
           -235.9               65             5.13     0.0022284361    -0.0017651086     0.0010830006
           -234.9               65             5.13     0.0023016497    -0.0018075297     0.0011178083
           -244.9               66             5.13      0.001665131    -0.0014177967    0.00082372257
           -243.9               66             5.13     0.0017201275    -0.0014626494    0.00084903697
           -242.9               66             5.13     0.0017758574    -0.0015077477    0.00087468093
           -241.9               66             5.13     0.0018323209    -0.0015530919    0.00090065488
           -240.9               66             5.13      0.001889518    -0.0015986821    0.00092695851
           -239.9               66             5.13     0.0019474481     -0.001644518    0.00095359178
           -238.9               66             5.13     0.0020061124    -0.0016906001     0.0009805552
           -237.9               66             5.13     0.0020655093    -0.0017369277      0.001007848
           -236.9               66             5.13     0.0021256402    -0.0017835011     0.0010354707
           -235.9               66             5.13     0.0021865042    -0.0018303206     0.0010634231
           -234.9               66             5.13     0.0022487768    -0.0018774117     0.0010919974
           -244.9               67             5.13     0.0016317863    -0.0014713451    0.00080660707
           -243.9               67             5.13     0.0016856861    -0.0015174288    0.00083159591
           -242.9               67             5.13     0.0017403197    -0.0015637588    0.00085691467
           -241.9               67             5.13     0.0017956863    -0.0016103341    0.00088256306
           -240.9               67             5.13     0.0018517863    -0.0016571553    0.00090854126
           -239.9               67             5.13     0.0019086201     -0.001704223    0.00093484938
           -238.9               67             5.13     0.0019661875    -0.0017515362    0.00096148718
           -237.9               67             5.13     0.0020244878    -0.0017990951    0.00098845467
           -236.9               67             5.13      0.002083522    -0.0018468999     0.0010157519
           -235.9               67             5.13     0.0021432897    -0.0018949506     0.0010433791
           -234.9               67             5.13     0.0022037907    -0.0019432474      0.001071336
           -244.9               68             5.13     0.0015971588    -0.0015243115    0.00078902469
           -243.9               68             5.13      0.001649962    -0.0015716269    0.00081368827
           -242.9               68             5.13     0.0017034987    -0.0016191878    0.00083868159
           -241.9               68             5.13     0.0017577687    -0.0016669948    0.00086400454
           -240.9               68             5.13     0.0018127724    -0.0017150474    0.00088965741
           -239.9               68             5.13     0.0018685095    -0.0017633461    0.00091564003
           -238.9               68             5.13     0.0019249798    -0.0018118906     0.0009419524
           -237.9               68             5.13     0.0019821837    -0.0018606808    0.00096859445
           -236.9               68             5.13     0.0020401212    -0.0019097171    0.00099556637
           -235.9               68             5.13     0.0020987918    -0.0019589989      0.001022868
           -234.9               68             5.13     0.0021581964    -0.0020085273     0.0010504996
           -244.9               69             5.13     0.0015612482    -0.0015766961    0.00077097566
           -243.9               69             5.13      0.001612955    -0.0016252428     0.0007953138
           -242.9               69             5.13     0.0016653948    -0.0016740349    0.00081998145
           -241.9               69             5.13      0.001718568     -0.001723073    0.00084497908
           -240.9               69             5.13     0.0017724754    -0.0017723575    0.00087030674
           -239.9               69             5.13     0.0018271157    -0.0018218874    0.00089596387
           -238.9               69             5.13     0.0018824894    -0.0018716631    0.00092195079
           -237.9               69             5.13     0.0019385966    -0.0019216848    0.00094826752
           -236.9               69             5.13     0.0019954373    -0.0019719524    0.00097491406
           -235.9               69             5.13     0.0020530117    -0.0020224659     0.0010018904
           -234.9               69             5.13      0.002111319    -0.0020732251     0.0010291962
           -244.9               70             5.13     0.0015240549    -0.0016284989    0.00075245969
           -243.9               70             5.13     0.0015746647    -0.0016782766    0.00077647227
           -242.9               70             5.13     0.0016260081    -0.0017283002    0.00080081471
           -241.9               70             5.13      0.001678085    -0.0017785701    0.00082548714
           -240.9               70             5.13     0.0017308954    -0.0018290856    0.00085048913
           -239.9               70             5.13     0.0017844388    -0.0018798467    0.00087582087
           -238.9               70             5.13      0.001838716    -0.0019308539    0.00090148242
           -237.9               70             5.13     0.0018937266    -0.0019821071    0.00092747388
           -236.9               70             5.13     0.0019501825    -0.0020319347    0.00095381559
           -235.9               70             5.13     0.0020078833    -0.0020809548    0.00098044856
           -234.9               70             5.13     0.0020603957    -0.0021317475     0.0010050848
           -244.9               71             5.13     0.0014855785    -0.0016797197    0.00073347683
           -243.9               71             5.13     0.0015350918    -0.0017307288    0.00075716415
           -242.9               71             5.13     0.0015854446    -0.0017816746    0.00078121701
           -241.9               71             5.13     0.0016371411    -0.0018312453    0.00080573559
           -240.9               71             5.13      0.001689749    -0.0018808198    0.00083052454
           -239.9               71             5.13     0.0017432686    -0.0019303982    0.00085558422
           -238.9               71             5.13     0.0017976988    -0.0019799799    0.00088091416
           -237.9               71             5.13     0.0018530403    -0.0020295645    0.00090651464
           -236.9               71             5.13     0.0019092932    -0.0020791534    0.00093238562
           -235.9               71             5.13     0.0019541918    -0.0021314626    0.00095411314
           -234.9               71             5.13     0.0020007563    -0.0021865608    0.00097544398
           -244.9               72             5.13     0.0014476788     -0.001724697    0.00071499648
           -243.9               72             5.13     0.0014970166    -0.0017748331    0.00073848251
           -242.9               72             5.13     0.0015472658    -0.0018249728    0.00076223916
           -241.9               72             5.13      0.001598426    -0.0018751158    0.00078626617
           -240.9               72             5.13     0.0016504973    -0.0019252623    0.00081056356
           -239.9               72             5.13     0.0017034804    -0.0019754125    0.00083513168
           -238.9               72             5.13     0.0017573743    -0.0020255658    0.00085997011
           -237.9               72             5.13     0.0018073383    -0.0020762887    0.00088334625
           -236.9               72             5.13     0.0018496556    -0.0021286341    0.00090411713
           -235.9               72             5.13     0.0018921854    -0.0021819652    0.00092518108
           -234.9               72             5.13     0.0019407613    -0.0022403377    0.00094586238
           -244.9               73             5.13     0.0014100649    -0.0017663632    0.00069650449
           -243.9               73             5.13     0.0014588664    -0.0018170713    0.00071949908
           -242.9               73             5.13      0.001508579    -0.0018677828    0.00074276421
           -241.9               73             5.13     0.0015592028    -0.0019184978    0.00076629978
           -240.9               73             5.13     0.0016107379    -0.0019692164    0.00079010567
           -239.9               73             5.13     0.0016631843    -0.0020199381    0.00081418193
           -238.9               73             5.13     0.0017058735    -0.0020711052    0.00083484675
           -237.9               73             5.13     0.0017467877    -0.0021232634     0.0008550972
           -236.9               73             5.13      0.001787914    -0.0021764068    0.00087564066
           -235.9               73             5.13     0.0018314981    -0.0022324298     0.0008961627
           -234.9               73             5.13     0.0018797726    -0.0022927537    0.00091638899
           -244.9               74             5.13     0.0013719433    -0.0018075414    0.00067751558
           -243.9               74             5.13     0.0014202081    -0.0018588211    0.00070001854
           -242.9               74             5.13     0.0014693843    -0.0019101046      0.000722792
           -241.9               74             5.13     0.0015194713    -0.0019613914    0.00074583583
           -240.9               74             5.13     0.0015667789    -0.0020123939    0.00076788629
           -239.9               74             5.13      0.001606077    -0.0020633789    0.00078732317
           -238.9               74             5.13     0.0016455874    -0.0021153498    0.00080705306
           -237.9               74             5.13     0.0016853106    -0.0021683061    0.00082707609
           -236.9               74             5.13     0.0017252464    -0.0022222479    0.00084739213
           -235.9               74             5.13     0.0017706723    -0.0022821694    0.00086715101
           -234.9               74             5.13     0.0018177908    -0.0023438097     0.0008870241
           -244.9               64             6.13      0.001749472    -0.0013211768    0.00085689686
           -243.9               64             6.13     0.0018073268    -0.0013639942    0.00088277104
           -242.9               64             6.13     0.0018659154    -0.0014070577    0.00090897491
           -241.9               64             6.13     0.0019252371    -0.0014503672    0.00093550864
           -240.9               64             6.13     0.0019852924    -0.0014939222      0.000962372
           -239.9               64             6.13     0.0020460815    -0.0015377235    0.00098956539
           -238.9               64             6.13     0.0021076032    -0.0015817701     0.0010170882
           -237.9               64             6.13     0.0021698587    -0.0016260626     0.0010449409
           -236.9               64             6.13     0.0022330598    -0.0016709117     0.0010731056
           -235.9               64             6.13     0.0023036941    -0.0017191462     0.0011032122
           -234.9               64             6.13     0.0023845767    -0.0017616865     0.0011395133
           -244.9               65             6.13     0.0017186493    -0.0013762312    0.00084081903
           -243.9               65             6.13     0.0017754073      -0.00142028    0.00086636771
           -242.9               65             6.13     0.0018328994    -0.0014645749    0.00089224626
           -241.9               65             6.13     0.0018911243    -0.0015091153    0.00091845443
           -240.9               65             6.13     0.0019500833    -0.0015539019    0.00094499264
           -239.9               65             6.13     0.0020097753    -0.0015989344    0.00097186043
           -238.9               65             6.13     0.0020702004    -0.0016442123     0.0009990579
           -237.9               65             6.13     0.0021313597    -0.0016897365     0.0010265852
           -236.9               65             6.13     0.0021932519    -0.0017355065     0.0010544424
           -235.9               65             6.13     0.0022594384    -0.0017870095     0.0010824203
           -234.9               65             6.13     0.0023346622    -0.0018341281     0.0011158076
           -244.9               66             6.13     0.0016865437    -0.0014307036    0.00082427432
           -243.9               66             6.13     0.0017422051    -0.0014759838    0.00084949768
           -242.9               66             6.13     0.0017986002    -0.0015215097    0.00087505067
           -241.9               66             6.13     0.0018557286    -0.0015672818    0.00090093352
           -240.9               66             6.13     0.0019135907    -0.0016132998    0.00092714629
           -239.9               66             6.13     0.0019721857     -0.001659563    0.00095368852
           -238.9               66             6.13     0.0020315151    -0.0017060728     0.0009805609
           -237.9               66             6.13      0.002091577    -0.0017528281     0.0010077627
           -236.9               66             6.13     0.0021523729    -0.0017998295     0.0010352944
           -235.9               66             6.13     0.0022169726    -0.0018520076     0.0010630399
           -234.9               66             6.13     0.0022835396    -0.0019052734     0.0010914843
           -244.9               67             6.13     0.0016531552    -0.0014845944    0.00080726296
           -243.9               67             6.13     0.0017077198    -0.0015311058    0.00083216076
