           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
------------------------------------------------------------------------------------------------------
           -244.2               71             5.13     0.0015201605       -0.0017154    0.00075002317
           -243.2               71             5.13      0.001570187    -0.0017665813    0.00077394128
           -242.2               71             5.13     0.0016215364    -0.0018163738     0.0007983516
           -241.2               71             5.13      0.001673871     -0.001865947    0.00082305935
           -240.2               71             5.13     0.0017271164    -0.0019155241    0.00084803777
           -239.2               71             5.13     0.0017812737    -0.0019651048    0.00087328674
           -238.2               71             5.13     0.0018363422    -0.0020146884    0.00089880609
           -237.2               71             5.13     0.0018923216     -0.002064276    0.00092459575
           -236.2               71             5.13     0.0019410527    -0.0021155984    0.00094769464
           -235.2               71             5.13      0.001985512    -0.0021691832    0.00096913392
           -234.2               71             5.13     0.0020365529    -0.0022273427    0.00099026784
           -244.2               71             6.13     0.0015418186    -0.0017303179     0.0007510315
           -243.2               71             6.13     0.0015925103    -0.0017819268    0.00077485864
           -242.2               71             6.13     0.0016439352    -0.0018337816    0.00079901551
           -241.2               71             6.13     0.0016960937    -0.0018858821     0.0008235022
           -240.2               71             6.13     0.0017489856    -0.0019382287    0.00084831857
           -239.2               71             6.13     0.0018029636     -0.001989942    0.00087349868
           -238.2               71             6.13     0.0018583314    -0.0020404037    0.00089901808
           -237.2               71             6.13     0.0019146106    -0.0020908681    0.00092480809
           -236.2               71             6.13     0.0019615996     -0.002144688    0.00094639626
           -235.2               71             6.13     0.0020123539    -0.0022027048    0.00096722698
           -234.2               71             6.13     0.0020644828    -0.0022602223    0.00098837877
           -244.2               71             7.13     0.0015631944    -0.0017450568    0.00075209682
           -243.2               71             7.13     0.0016145512    -0.0017970935    0.00077583303
           -242.2               71             7.13     0.0016666412    -0.0018493761    0.00079989887
           -241.2               71             7.13     0.0017194648    -0.0019019041    0.00082429458
           -240.2               71             7.13     0.0017730219    -0.0019546787    0.00084902014
           -239.2               71             7.13     0.0018273119    -0.0020076984    0.00087407534
           -238.2               71             7.13     0.0018823361    -0.0020609647    0.00089946046
           -237.2               71             7.13     0.0019383377    -0.0021179926    0.00092397473
           -236.2               71             7.13     0.0019895327    -0.0021743281    0.00094461231
           -235.2               71             7.13     0.0020414635    -0.0022313178     0.0009654715
           -234.2               71             7.13     0.0020941298     -0.002288962     0.0009865521
           -244.2               71             8.13     0.0015842884    -0.0017596169     0.0007532193
           -243.2               71             8.13       0.00163631    -0.0018120813    0.00077686453
           -242.2               71             8.13     0.0016890652    -0.0018647916    0.00080083951
           -241.2               71             8.13     0.0017425538    -0.0019177478    0.00082514423
           -240.2               71             8.13     0.0017967756    -0.0019709496    0.00084977859
           -239.2               71             8.13     0.0018532762     -0.002027276    0.00087483751
           -238.2               71             8.13     0.0019123041    -0.0020872557    0.00090036902
           -237.2               71             8.13     0.0019660275    -0.0021446855    0.00092247338
           -236.2               71             8.13     0.0020176356    -0.0022013583    0.00094302872
           -235.2               71             8.13     0.0020699797    -0.0022586857    0.00096380548
           -234.2               71             8.13     0.0021230585     -0.002316667    0.00098480342
           -244.2               71             9.13     0.0016051005    -0.0017739985    0.00075439899
           -243.2               71             9.13      0.001657787    -0.0018268905    0.00077795325
           -242.2               71             9.13     0.0017112072    -0.0018800286    0.00080183719
           -241.2               71             9.13     0.0017661098    -0.0019347663    0.00082608935
           -240.2               71             9.13     0.0018242564    -0.0019943437    0.00085082732
           -239.2               71             9.13     0.0018831346    -0.0020542513    0.00087594002
           -238.2               71             9.13     0.0019417134    -0.0021139884    0.00090079859
           -237.2               71             9.13     0.0019929991    -0.0021703437    0.00092104991
           -236.2               71             9.13     0.0020450207    -0.0022273543      0.000941523
           -235.2               71             9.13     0.0020977776    -0.0022850188    0.00096221745
           -234.2               71             9.13     0.0021512697    -0.0023433375    0.00098313333
           -244.2               71            10.13     0.0016256305    -0.0017882016    0.00075563596
           -243.2               71            10.13     0.0016789823    -0.0018415214    0.00077909906
           -242.2               71            10.13      0.001736238    -0.0019006792    0.00080304343
           -241.2               71            10.13     0.0017942353    -0.0019601844    0.00082736282
           -240.2               71            10.13     0.0018529631    -0.0020200189    0.00085205649
           -239.2               71            10.13     0.0019124217     -0.002080183    0.00087712472
           -238.2               71            10.13      0.001967554    -0.0021382747    0.00089953607
           -237.2               71            10.13     0.0020192531    -0.0021949676    0.00091970502
           -236.2               71            10.13      0.002071687    -0.0022523152    0.00094009552
           -235.2               71            10.13     0.0021248572    -0.0023103175    0.00096070778
           -234.2               71            10.13      0.002178763    -0.0023689738    0.00098154135
           -244.2               71            11.13     0.0016482484    -0.0018062614    0.00075701729
           -243.2               71            11.13     0.0017053646    -0.0018653644    0.00078054331
           -242.2               71            11.13     0.0017632111    -0.0019247967    0.00080444361
           -241.2               71            11.13      0.001821789     -0.001984559    0.00082871853
           -240.2               71            11.13      0.001881098    -0.0020446507    0.00085336796
           -239.2               71            11.13     0.0019411378    -0.0021050719     0.0008783919
           -238.2               71            11.13     0.0019926764    -0.0021615261    0.00089835131
           -237.2               71            11.13      0.002044789    -0.0022185573    0.00091843843
           -236.2               71            11.13     0.0020976365    -0.0022762418     0.0009387465
           -235.2               71            11.13     0.0021512192     -0.002334581    0.00095927622
           -234.2               71            11.13     0.0022055379    -0.0023935749    0.00098002749
           -244.2               71            12.13     0.0016734877    -0.0018288213    0.00075858831
           -243.2               71            12.13      0.001731185    -0.0018881817    0.00078206998
           -242.2               71            12.13     0.0017896129    -0.0019478714     0.0008059261
           -241.2               71            12.13     0.0018487719    -0.0020078907    0.00083015673
           -240.2               71            12.13     0.0019086618    -0.0020682393    0.00085476181
           -239.2               71            12.13     0.0019652918    -0.0021270299    0.00087746221
           -238.2               71            12.13     0.0020170815    -0.0021837435    0.00089724525
           -237.2               71            12.13     0.0020696064    -0.0022411114    0.00091724965
           -236.2               71            12.13     0.0021228676    -0.0022991337    0.00093747576
           -235.2               71            12.13     0.0021768631      -0.00235781    0.00095792289
           -234.2               71            12.13     0.0022315951     -0.002417142    0.00097859197
           -244.2               71            13.13     0.0016962414    -0.0018564359    0.00075817085
           -243.2               71            13.13     0.0017548852    -0.0019145379    0.00078214408
           -242.2               71            13.13     0.0018144324    -0.0019727177     0.0008065594
           -241.2               71            13.13     0.0018748826    -0.0020309754    0.00083141669
           -240.2               71            13.13     0.0019356544     -0.002090785    0.00085623807
           -239.2               71            13.13     0.0019885653    -0.0021478748    0.00087651645
           -238.2               71            13.13     0.0020408435     -0.002205427    0.00089641305
           -237.2               71            13.13     0.0020938984    -0.0022640738    0.00091670954
           -236.2               71            13.13     0.0021476643    -0.0023234233    0.00093725452
           -235.2               71            13.13      0.002202142    -0.0023834761    0.00095804827
           -234.2               71            13.13     0.0022573303    -0.0024442319    0.00097909058
           -244.2               71            14.13     0.0017186839     -0.001884243    0.00075768953
           -243.2               71            14.13     0.0017775662    -0.0019428765    0.00078151585
           -242.2               71            14.13     0.0018373521    -0.0020015878    0.00080578425
           -241.2               71            14.13     0.0018978063     -0.002060195    0.00083047157
           -240.2               71            14.13     0.0019550987    -0.0021155889    0.00085517875
           -239.2               71            14.13     0.0020112086    -0.0021726603    0.00087793765
           -238.2               71            14.13     0.0020648034    -0.0022322938    0.00089785905
           -237.2               71            14.13     0.0021184208    -0.0022918873    0.00091809034
           -236.2               71            14.13      0.002172552    -0.0023518561    0.00093863439
           -235.2               71            14.13     0.0022273951    -0.0024125278    0.00095942686
           -234.2               71            14.13     0.0022829492    -0.0024739029    0.00098046823
           -244.2               71            15.13     0.0017408666    -0.0019121036    0.00075719494
           -243.2               71            15.13     0.0017999876    -0.0019712688    0.00078087428
           -242.2               71            15.13     0.0018578861    -0.0020289943    0.00080476562
           -241.2               71            15.13     0.0019143365    -0.0020849507    0.00082881231
           -240.2               71            15.13     0.0019720783    -0.0021410303    0.00085329864
           -239.2               71            15.13     0.0020311114    -0.0021972328    0.00087822444
           -238.2               71            15.13     0.0020866268    -0.0022567732    0.00089939235
           -237.2               71            15.13     0.0021415059    -0.0023177522    0.00091973983
           -236.2               71            15.13     0.0021967606     -0.002379497    0.00094019278
           -235.2               71            15.13     0.0022523894    -0.0024420074    0.00096075051
           -234.2               71            15.13     0.0023083314    -0.0025041196    0.00098176114
