Strom in Ampere	Feld in mT	Spannung in V
aus 	-0.1	
0.0	-0.09	0.0
0.6	-0.3	1.2
1.0	-0.42	2.0
2.0	-0.77	4.1
3.0	-1.12	6.2
4.2	-1.56	8.7
5.0	-1.86	10.3
6.0	-2.21	12.4
7.0	-2.58	14.4
8.0	-2.93	16.4
9.0	-3.32	18.6
10.0	-3.68	20.6
11.0	-4.06	22.7
12.0	-4.41	24.7
13.0	-4.79	26.8
14.0	-5.15	28.9
15.0	-5.51	30.9
16.0	-5.90	33.1
17.1	-6.27	35.3
18.0	-6.62	37.3
19.1	-7.02	39.7
20.0	-7.33	41.5
19.4	-7.15	40.4
18.6	-6.91	38.8
17.5	-6.55	36.7
16.2	-6.09	34.0
15.0	-5.68	31.5
14.0	-5.33	29.5
13.0	-4.95	27.3
11.9	-4.58	25.2
10.9	-4.20	23.0
9.9	-3.85	21.0
9.1	-3.54	19.2
8.0	-3.13	16.9
6.9	-2.72	14.6
6.0	-2.37	12.6
5.0	-1.99	10.5
3.9	-1.59	8.2
3.0	-1.25	6.3
2.3	-0.98	4.9
1.6	-0.71	3.3
0.9	-0.46	2.0
0.3	-0.21	0.6
0.0	-0.10	0.0
aus 	-0.10	
