           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
------------------------------------------------------------------------------------------------------
            64.17               69            186.5   -2.3068207e-05      -0.05187102   -2.9027004e-05
            65.17               69            186.5   -2.5415309e-05     -0.051875789   -2.9012635e-05
            66.17               69            186.5   -2.7630802e-05     -0.051880836   -2.9441453e-05
            67.17               69            186.5   -2.9886074e-05     -0.051887527    -2.958352e-05
            68.17               69            186.5    -3.204956e-05      -0.05189658   -2.9196352e-05
            69.17               69            186.5   -3.4775741e-05     -0.051905662   -2.8808623e-05
            70.17               69            186.5   -3.8064638e-05     -0.051914778    -2.842034e-05
            71.17               69            186.5   -4.0939456e-05     -0.051925305   -2.9153223e-05
            72.17               69            186.5   -4.6139008e-05      -0.05193669    -2.927047e-05
            73.17               69            186.5    -5.168331e-05     -0.051948689   -2.9320985e-05
            74.17               69            186.5   -5.7066136e-05     -0.051961191   -2.8975554e-05
            64.17               69            187.5   -2.3645784e-05     -0.051878285   -3.2716529e-05
            65.17               69            187.5   -2.5767733e-05     -0.051883191   -3.2705379e-05
            66.17               69            187.5   -2.7994422e-05     -0.051888227   -3.2872573e-05
            67.17               69            187.5   -2.9770319e-05     -0.051896248   -3.2868735e-05
            68.17               69            187.5   -3.1776271e-05      -0.05190485   -3.2829794e-05
            69.17               69            187.5   -3.4077195e-05     -0.051913686   -3.2810196e-05
            70.17               69            187.5   -3.7273301e-05     -0.051922888   -3.2528962e-05
            71.17               69            187.5   -4.1406016e-05     -0.051931508   -3.2307096e-05
            72.17               69            187.5   -4.6770303e-05     -0.051942818   -3.2577296e-05
            73.17               69            187.5   -5.1220552e-05     -0.051954653   -3.2452917e-05
            74.17               69            187.5    -5.512371e-05     -0.051966079   -3.2089611e-05
            64.17               69            188.5   -2.4231287e-05     -0.051886074   -3.6725669e-05
            65.17               69            188.5   -2.6108981e-05      -0.05189107   -3.6881109e-05
            66.17               69            188.5   -2.8178298e-05      -0.05189766   -3.6701367e-05
            67.17               69            188.5   -3.0293721e-05     -0.051905856   -3.6565016e-05
            68.17               69            188.5   -3.2704113e-05     -0.051914293   -3.6448007e-05
            69.17               69            188.5   -3.5409474e-05     -0.051922958   -3.6350335e-05
            70.17               69            188.5   -3.8339691e-05     -0.051930532   -3.6972335e-05
            71.17               69            188.5   -4.1654759e-05     -0.051939499    -3.773249e-05
            72.17               69            188.5   -4.5425902e-05     -0.051949766   -3.6899044e-05
            73.17               69            188.5   -4.8609279e-05     -0.051958777   -3.6326514e-05
            74.17               69            188.5   -5.2292504e-05     -0.051969409   -3.6115525e-05
            64.17               69            189.5   -2.4784271e-05     -0.051894389   -4.1088933e-05
            65.17               69            189.5   -2.6390844e-05      -0.05189994   -4.1604937e-05
            66.17               69            189.5   -2.8591992e-05     -0.051907778    -4.125492e-05
            67.17               69            189.5   -3.0884905e-05      -0.05191607   -4.0516923e-05
            68.17               69            189.5   -3.3275242e-05     -0.051924746   -3.9793627e-05
            69.17               69            189.5   -3.6055615e-05      -0.05193302    -4.145893e-05
            70.17               69            189.5   -3.8941012e-05     -0.051941559   -4.3326228e-05
            71.17               69            189.5   -4.2035728e-05     -0.051950485   -4.4019151e-05
            72.17               69            189.5   -4.5388311e-05     -0.051961221   -4.2970947e-05
            73.17               69            189.5   -4.9046917e-05     -0.051971469    -4.178223e-05
            74.17               69            189.5   -5.2516414e-05     -0.051980905   -4.0801991e-05
            64.17               69            190.5   -2.5186062e-05     -0.051904511   -4.4719181e-05
            65.17               69            190.5   -2.6532296e-05     -0.051911019   -4.5174969e-05
            66.17               69            190.5   -2.8653138e-05     -0.051919091     -4.42362e-05
            67.17               69            190.5   -3.0946965e-05     -0.051927391   -4.3797143e-05
            68.17               69            190.5   -3.3605102e-05     -0.051935494   -4.5174704e-05
            69.17               69            190.5   -3.6370264e-05      -0.05194385   -4.6763176e-05
            70.17               69            190.5    -3.924247e-05     -0.051952478   -4.8562611e-05
            71.17               69            190.5   -4.2180742e-05     -0.051961802   -4.9676259e-05
            72.17               69            190.5   -4.5423083e-05     -0.051972467   -4.8627488e-05
            73.17               69            190.5    -4.922767e-05     -0.051983505    -4.742929e-05
            74.17               69            190.5   -5.2970194e-05     -0.051994175   -4.7148602e-05
            64.17               69            191.5   -2.5432022e-05     -0.051916648   -4.7294227e-05
            65.17               69            191.5   -2.6774018e-05     -0.051923312   -4.7805235e-05
            66.17               69            191.5   -2.8740818e-05     -0.051930699   -4.8316397e-05
            67.17               69            191.5   -3.1276708e-05     -0.051938616   -4.9406204e-05
            68.17               69            191.5   -3.3919634e-05     -0.051946793   -5.0706934e-05
            69.17               69            191.5   -3.6669589e-05     -0.051955234   -5.2218602e-05
            70.17               69            191.5   -3.9526571e-05     -0.051963933   -5.3941192e-05
            71.17               69            191.5   -4.2400519e-05     -0.051973403    -5.486064e-05
            72.17               69            191.5   -4.5527566e-05     -0.051984094   -5.3915475e-05
            73.17               69            191.5   -4.9216826e-05     -0.051995132   -5.2820851e-05
            74.17               69            191.5   -5.3433614e-05     -0.052006505   -5.1675717e-05
            64.17               69            192.5   -2.6014699e-05     -0.051929187   -5.2372376e-05
            65.17               69            192.5   -2.7944043e-05     -0.051936131   -5.3240798e-05
            66.17               69            192.5   -2.9458302e-05     -0.051942848   -5.4162912e-05
            67.17               69            192.5   -3.1591124e-05      -0.05195038    -5.516642e-05
            68.17               69            192.5   -3.4218843e-05      -0.05195865   -5.6390352e-05
            69.17               69            192.5   -3.6953585e-05     -0.051967166   -5.7825197e-05
            70.17               69            192.5   -3.9795366e-05     -0.051975951   -5.9470985e-05
            71.17               69            192.5   -4.2591055e-05     -0.051985562    -6.021962e-05
            72.17               69            192.5   -4.5602777e-05      -0.05199625   -5.9378028e-05
            73.17               69            192.5   -4.9176731e-05     -0.052007295   -5.8386995e-05
            74.17               69            192.5    -5.331292e-05     -0.052018713   -5.7246521e-05
            64.17               69            193.5   -2.6572543e-05     -0.051941987   -5.8662925e-05
            65.17               69            193.5   -2.8887587e-05     -0.051949453   -5.9470596e-05
            66.17               69            193.5   -3.0817839e-05     -0.051956527   -6.0271519e-05
            67.17               69            193.5    -3.235622e-05     -0.051963344   -6.1168445e-05
            68.17               69            193.5   -3.4502715e-05     -0.051971041   -6.2224906e-05
            69.17               69            193.5   -3.7222264e-05     -0.051979657   -6.3582964e-05
            70.17               69            193.5   -4.0048832e-05      -0.05198852   -6.5151929e-05
            71.17               69            193.5   -4.2752305e-05     -0.051998243   -6.5753149e-05
            72.17               69            193.5   -4.5648725e-05     -0.052008949   -6.5015149e-05
            73.17               69            193.5   -4.9107362e-05      -0.05202001     -6.41277e-05
            74.17               69            193.5   -5.3128239e-05     -0.052031435   -6.3090803e-05
            64.17               69            194.5   -2.7231723e-05     -0.051955372   -6.5283915e-05
            65.17               69            194.5   -2.9410843e-05     -0.051963039   -6.6106077e-05
            66.17               69            194.5   -3.1838987e-05     -0.051970743    -6.678162e-05
            67.17               69            194.5   -3.3759778e-05     -0.051977914    -6.752742e-05
            68.17               69            194.5   -3.5322275e-05     -0.051984839    -6.839916e-05
            69.17               69            194.5   -3.7475605e-05     -0.051992688   -6.9491885e-05
            70.17               69            194.5    -4.028697e-05     -0.052001644   -7.0984046e-05
            71.17               69            194.5   -4.2884312e-05     -0.052011497   -7.1461269e-05
            72.17               69            194.5   -4.5665409e-05     -0.052022204   -7.0826849e-05
            73.17               69            194.5    -4.900874e-05     -0.052033272   -7.0042981e-05
            74.17               69            194.5   -5.2797532e-05      -0.05204647   -6.9564419e-05
            64.17               69            195.5   -2.7992242e-05     -0.051969364   -7.2235343e-05
            65.17               69            195.5   -3.0035437e-05     -0.051977221   -7.3071991e-05
            66.17               69            195.5    -3.232764e-05     -0.051985107   -7.3762007e-05
            67.17               69            195.5   -3.4868892e-05     -0.051993065   -7.4305455e-05
            68.17               69            195.5   -3.6769874e-05     -0.052000314   -7.5008553e-05
            69.17               69            195.5   -3.8356502e-05      -0.05200734    -7.585511e-05
            70.17               69            195.5   -4.0509796e-05     -0.052015312   -7.6967328e-05
            71.17               69            195.5   -4.2987049e-05      -0.05202527   -7.7343946e-05
            72.17               69            195.5   -4.5758581e-05     -0.052037187   -7.7127792e-05
            73.17               69            195.5   -4.8884503e-05     -0.052051291   -7.7063189e-05
            74.17               69            195.5   -5.2032228e-05      -0.05206567   -7.6566314e-05
            64.17               69            196.5   -2.8797946e-05     -0.051984899   -7.9346864e-05
            65.17               69            196.5   -3.0730116e-05     -0.051992685   -8.0247279e-05
            66.17               69            196.5   -3.2904056e-05     -0.052000523   -8.0996826e-05
            67.17               69            196.5   -3.5319779e-05      -0.05200842   -8.1595499e-05
            68.17               69            196.5   -3.7972986e-05     -0.052016415   -8.2036146e-05
            69.17               69            196.5   -3.9822851e-05     -0.052024309    -8.262023e-05
            70.17               69            196.5    -4.137728e-05     -0.052032318   -8.3264131e-05
            71.17               69            196.5   -4.3564127e-05     -0.052043431   -8.4286359e-05
            72.17               69            196.5   -4.5995464e-05      -0.05205752   -8.4354768e-05
            73.17               69            196.5   -4.8448594e-05     -0.052071869   -8.3990868e-05
            74.17               69            196.5   -5.2298492e-05     -0.052084692   -8.4459905e-05
