           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
------------------------------------------------------------------------------------------------------
           -244.2               71             5.13     0.0017647659    -0.0019933181    0.00087102293
           -243.2               71             5.13     0.0018228316    -0.0020527341    0.00089879031
           -242.2               71             5.13     0.0018824328    -0.0021105381    0.00092712918
           -241.2               71             5.13     0.0019431772    -0.0021680873     0.0009558138
           -240.2               71             5.13     0.0020049794    -0.0022256407    0.00098481216
           -239.2               71             5.13     0.0020678395    -0.0022831981     0.0010141246
           -238.2               71             5.13     0.0021317569    -0.0023407589     0.0010437508
           -237.2               71             5.13      0.002196732    -0.0023983242     0.0010736909
           -236.2               71             5.13      0.002253294    -0.0024579032     0.0011005062
           -235.2               71             5.13     0.0023048976    -0.0025201086     0.0011253943
           -234.2               71             5.13       0.00236414    -0.0025876244     0.0011499296
           -244.2               71             6.13     0.0017899093    -0.0020106488    0.00087220187
           -243.2               71             6.13      0.001848747    -0.0020705613     0.0008998636
           -242.2               71             6.13     0.0019084358    -0.0021307594    0.00092790806
           -241.2               71             6.13     0.0019689761    -0.0021912423    0.00095633522
           -240.2               71             6.13     0.0020303675    -0.0022520106    0.00098514522
           -239.2               71             6.13     0.0020930194    -0.0023120437     0.0010143775
           -238.2               71             6.13     0.0021572846    -0.0023706236     0.0010440041
           -237.2               71             6.13     0.0022226081    -0.0024292076     0.0010739446
           -236.2               71             6.13     0.0022771475    -0.0024916853      0.001099006
           -235.2               71             6.13     0.0023360569    -0.0025590356     0.0011231895
           -234.2               71             6.13     0.0023965631    -0.0026258063     0.0011477461
           -244.2               71             7.13     0.0018147253    -0.0020277719    0.00087344681
           -243.2               71             7.13     0.0018743349    -0.0020881812    0.00090100319
           -242.2               71             7.13     0.0019347958    -0.0021488755    0.00092894217
           -241.2               71             7.13     0.0019961079    -0.0022098552    0.00095726381
           -240.2               71             7.13     0.0020582713    -0.0022711202    0.00098596839
           -239.2               71             7.13     0.0021212858    -0.0023326701     0.0010150556
           -238.2               71             7.13     0.0021851519    -0.0023945055     0.0010445256
           -237.2               71             7.13     0.0022501524    -0.0024607077     0.0010729851
           -236.2               71             7.13     0.0023095747    -0.0025261063     0.0010969448
           -235.2               71             7.13     0.0023698506    -0.0025922651     0.0011211615
           -234.2               71             7.13     0.0024309801    -0.0026591832     0.0011456355
           -244.2               71             8.13     0.0018392142    -0.0020446877    0.00087475829
           -243.2               71             8.13     0.0018995957    -0.0021055934    0.00090220908
           -242.2               71             8.13     0.0019608287    -0.0021667844    0.00093004259
           -241.2               71             8.13     0.0020229127     -0.002228261    0.00095825893
           -240.2               71             8.13     0.0020858475    -0.0022900219    0.00098685769
           -239.2               71             8.13     0.0021514278    -0.0023554105     0.0010159494
           -238.2               71             8.13     0.0022199417    -0.0024250397     0.0010455897
           -237.2               71             8.13     0.0022822982    -0.0024917091     0.0010712517
           -236.2               71             8.13     0.0023421999    -0.0025574998     0.0010951159
           -235.2               71             8.13     0.0024029552      -0.00262405     0.0011192374
           -234.2               71             8.13     0.0024645638    -0.0026913597     0.0011436155
           -244.2               71             9.13      0.001863376    -0.0020613961    0.00087613601
           -243.2               71             9.13     0.0019245293    -0.0021227987    0.00090348127
           -242.2               71             9.13     0.0019865341    -0.0021844862    0.00093120942
           -241.2               71             9.13     0.0020502594    -0.0022480309     0.0009593647
           -240.2               71             9.13     0.0021177505    -0.0023171934    0.00098808389
           -239.2               71             9.13     0.0021860907     -0.002386739     0.0010172381
           -238.2               71             9.13     0.0022540828    -0.0024560869     0.0010460975
           -237.2               71             9.13     0.0023136099    -0.0025215091     0.0010696088
           -236.2               71             9.13     0.0023739915    -0.0025876923     0.0010933777
           -235.2               71             9.13     0.0024352265    -0.0026546337     0.0011174035
           -234.2               71             9.13     0.0024973145     -0.002722335     0.0011416861
           -244.2               71            10.13     0.0018872108    -0.0020778978    0.00087758014
           -243.2               71            10.13     0.0019491361    -0.0021397965    0.00090481993
           -242.2               71            10.13     0.0020155932    -0.0022084725     0.0009326181
           -241.2               71            10.13     0.0020829109    -0.0022775522    0.00096085167
           -240.2               71            10.13     0.0021510762     -0.002347013    0.00098951964
           -239.2               71            10.13       0.00222009    -0.0024168566     0.0010186223
           -238.2               71            10.13     0.0022840824    -0.0024842946     0.0010446409
           -237.2               71            10.13     0.0023440893    -0.0025501091     0.0010680568
           -236.2               71            10.13     0.0024049496    -0.0026166828     0.0010917297
           -235.2               71            10.13     0.0024666642    -0.0026840167     0.0011156602
           -234.2               71            10.13     0.0025292325    -0.0027521101     0.0011398477
           -244.2               71            11.13     0.0019134692    -0.0020988765    0.00087919197
           -243.2               71            11.13     0.0019797641    -0.0021674894    0.00090650457
           -242.2               71            11.13     0.0020469071    -0.0022364845    0.00093425182
           -241.2               71            11.13     0.0021148985    -0.0023058618    0.00096243387
           -240.2               71            11.13     0.0021837389    -0.0023756218    0.00099105062
           -239.2               71            11.13     0.0022534272    -0.0024457634     0.0010201021
           -238.2               71            11.13     0.0023132481    -0.0025113011     0.0010432745
           -237.2               71            11.13     0.0023737354    -0.0025775079     0.0010665953
           -236.2               71            11.13     0.0024350754    -0.0026444735     0.0010901727
           -235.2               71            11.13     0.0024972691    -0.0027121985     0.0011140073
           -234.2               71            11.13     0.0025603166    -0.0027806838     0.0011380992
           -244.2               71            12.13     0.0019427708    -0.0021250802    0.00088102359
           -243.2               71            12.13     0.0020097403    -0.0021939918    0.00090828503
           -242.2               71            12.13     0.0020775578    -0.0022632855    0.00093598099
           -241.2               71            12.13      0.002146224    -0.0023329614    0.00096411171
           -240.2               71            12.13     0.0022157384    -0.0024030197    0.00099267706
           -239.2               71            12.13     0.0022814688    -0.0024712691     0.0010190314
           -238.2               71            12.13     0.0023415815    -0.0025371078     0.0010419993
           -237.2               71            12.13     0.0024025475    -0.0026037057     0.0010652241
           -236.2               71            12.13     0.0024643678    -0.0026710636     0.0010887063
           -235.2               71            12.13     0.0025270404    -0.0027391801     0.0011124451
           -234.2               71            12.13      0.002590568    -0.0028080572     0.0011364417
           -244.2               71            13.13     0.0019691875    -0.0021571512    0.00088054594
           -243.2               71            13.13     0.0020372558    -0.0022246023    0.00090837828
           -242.2               71            13.13     0.0021063725    -0.0022921434    0.00093672378
           -241.2               71            13.13     0.0021765374    -0.0023597747    0.00096558227
           -240.2               71            13.13     0.0022470753    -0.0024292071    0.00099439896
           -239.2               71            13.13     0.0023084888    -0.0024954826     0.0010179419
           -238.2               71            13.13     0.0023691687    -0.0025622949     0.0010410417
           -237.2               71            13.13     0.0024307496    -0.0026303777     0.0010646054
           -236.2               71            13.13     0.0024931557    -0.0026992762     0.0010884579
           -235.2               71            13.13      0.002556388    -0.0027689906      0.001112599
           -234.2               71            13.13     0.0026204456     -0.002839521     0.0011370287
           -244.2               71            14.13     0.0019952434     -0.002189446    0.00087999401
           -243.2               71            14.13     0.0020635885    -0.0022575138    0.00090765581
           -242.2               71            14.13      0.002132982    -0.0023256724    0.00093583082
           -241.2               71            14.13     0.0022031514    -0.0023937095    0.00096449215
           -240.2               71            14.13     0.0022696513    -0.0024580169     0.0009931766
           -239.2               71            14.13     0.0023347777    -0.0025242716     0.0010195993
           -238.2               71            14.13     0.0023969854    -0.0025934996     0.0010427278
           -237.2               71            14.13      0.002459219     -0.002662681     0.0010662162
           -236.2               71            14.13     0.0025220499    -0.0027322983     0.0010900674
           -235.2               71            14.13     0.0025857061    -0.0028027315     0.0011142073
           -234.2               71            14.13     0.0026501878    -0.0028739804      0.001138636
           -244.2               71            15.13     0.0020209977    -0.0022218029    0.00087942649
           -243.2               71            15.13     0.0020896201    -0.0022904882    0.00090691785
           -242.2               71            15.13     0.0021568234    -0.0023575022    0.00093465531
           -241.2               71            15.13     0.0022223459    -0.0024224636    0.00096257316
           -240.2               71            15.13     0.0022893671    -0.0024875675    0.00099100114
           -239.2               71            15.13     0.0023578871    -0.0025528141     0.0010199397
           -238.2               71            15.13     0.0024223235    -0.0026219338     0.0010445154
           -237.2               71            15.13     0.0024860217    -0.0026927232     0.0010681388
           -236.2               71            15.13     0.0025501554     -0.002764402     0.0010918843
           -235.2               71            15.13      0.002614724    -0.0028369687     0.0011157519
           -234.2               71            15.13     0.0026796558    -0.0029090741     0.0011401451
