 3D Run ID	I_C	Mesh Pass	Tables\0D Results\B-Field (Ms)_Y_0D_1	Tables\0D Results\B-Field (Ms)_Y_0D_2	Tables\0D Results\B-Field (Ms)_Y_0D_3	Tables\0D Results\B-Field (Ms)_Y_0D_4
1	4100	2	-0.14691835641860962	-0.14723792672157288	-0.14749693870544434	-0.0062631662003695965
2	4220	2	-0.15122306346893311	-0.15155170857906342	-0.15181833505630493	-0.0064471308141946793
3	4340	2	-0.1555277407169342	-0.15586547553539276	-0.15613971650600433	-0.0066310921683907509
4	4460	2	-0.1598324179649353	-0.16017922759056091	-0.16046109795570374	-0.0068150479346513748
5	4580	2	-0.16413703560829163	-0.16449292004108429	-0.16478244960308075	-0.0069989981129765511
6	4700	2	-0.16844165325164795	-0.16880665719509125	-0.16910375654697418	-0.0071829413063824177
7	4820	2	-0.17274625599384308	-0.17312029004096985	-0.17342504858970642	-0.007366877980530262
8	4940	2	-0.17705079913139343	-0.17743390798568726	-0.17774629592895508	-0.0075508067384362221
9	5060	2	-0.1813553124666214	-0.18174746632575989	-0.18206751346588135	-0.0077347271144390106
10	5180	2	-0.18565979599952698	-0.18606100976467133	-0.18638865649700165	-0.007918638177216053
11	5300	2	-0.18996421992778778	-0.19037450850009918	-0.19070976972579956	-0.0081025380641222
12	0	1	0	0	0	0
13	378.57142857142998	2	-0.013462742790579796	-0.013496364466845989	-0.013519510626792908	-0.00056524213869124651
14	757.14285714285995	2	-0.02702346071600914	-0.027087096124887466	-0.027134072035551071	-0.001144943293184042
15	1135.7142857143001	2	-0.040593963116407394	-0.040687128901481628	-0.040758032351732254	-0.0017260817112401128
16	1514.2857142856999	2	-0.054168738424777985	-0.054291181266307831	-0.05438605323433876	-0.0023078315425664186
17	1892.8571428570999	2	-0.067745812237262726	-0.067897379398345947	-0.068016253411769867	-0.0028898981399834156
18	2271.4285714286002	2	-0.081324294209480286	-0.081504814326763153	-0.081647701561450958	-0.0034598507918417454
19	2650	2	-0.094903647899627686	-0.095113053917884827	-0.095279969274997711	-0.0040401602163910866
20	3028.5714285713998	2	-0.10848354548215866	-0.1087217852473259	-0.10891271382570267	-0.0046205315738916397
21	3407.1428571429001	2	-0.12206375598907471	-0.12233078479766846	-0.1225457489490509	-0.0052009322680532932
22	3785.7142857142999	2	-0.13564410805702209	-0.1359398365020752	-0.13617886602878571	-0.0057813357561826706
23	4164.2857142857001	2	-0.14922444522380829	-0.14954885840415955	-0.14981196820735931	-0.0063617192208766937
24	4542.8571428571004	2	-0.16280466318130493	-0.16315773129463196	-0.1634448766708374	-0.0069420607760548592
25	4921.4285714285998	2	-0.17638461291790009	-0.17676632106304169	-0.1770775318145752	-0.0075223417952656746
0			-0.18996421992778778	-0.19037450850009918	-0.19070976972579956	-0.0081025380641222
