 3D Run ID	I_C	Tables\0D Results\B-Field (Ms)_Y_0D_1	Tables\0D Results\B-Field (Ms)_Y_0D_2	Tables\0D Results\B-Field (Ms)_Y_0D_3	Tables\0D Results\B-Field (Ms)_Y_0D_4
1	1	-3.1048301025293767e-05	-3.1356561521533877e-05	-3.134608778054826e-05	-7.0535651275349665e-07
2	442.58333333333002	-0.0077732517383992672	-0.0075299711897969246	-0.0082055460661649704	-0.0005836642230860889
3	884.16666666667004	-0.031579814851284027	-0.031701706349849701	-0.031706549227237701	-0.0013154696207493544
4	1325.75	-0.047411434352397919	-0.047588825225830078	-0.04759688675403595	-0.0019814926199615002
5	1767.3333333333001	-0.063247554004192352	-0.063481122255325317	-0.063492447137832642	-0.0026482183020561934
6	2208.9166666667002	-0.079085990786552429	-0.079376295208930969	-0.079390913248062134	-0.0033152552787214518
7	2650.5	-0.094925731420516968	-0.095273233950138092	-0.095291167497634888	-0.0039824675768613815
8	3092.0833333332998	-0.11076615750789642	-0.11117125302553177	-0.11119252443313599	-0.004649764858186245
9	3533.6666666667002	-0.12660688161849976	-0.12706995010375977	-0.12709453701972961	-0.0053170835599303246
10	3975.25	-0.14244762063026428	-0.14296892285346985	-0.14299687743186951	-0.0059843752533197403
11	4416.8333333333003	-0.15828812122344971	-0.1588679701089859	-0.15889926254749298	-0.0066515933722257614
12	4858.4166666666997	-0.17412814497947693	-0.17476683855056763	-0.17480146884918213	-0.0073187006637454033
13	5300	-0.1899675577878952	-0.19066530466079712	-0.19070330262184143	-0.0079856626689434052
14	167.5	-0.00592024065554142	-0.0059523722156882286	-0.0059523913078010082	-0.00023980066180229187
15	334	-0.011872344650328159	-0.011925725266337395	-0.011926759034395218	-0.00048830220475792885
16	500.5	-0.017832765355706215	-0.017906885594129562	-0.017909033223986626	-0.00073805416468530893
17	667	-0.023797120898962021	-0.023891938850283623	-0.023895235732197762	-0.00098840973805636168
18	833.5	-0.029763801023364067	-0.029879365116357803	-0.029883842915296555	-0.0012391244526952505
19	1000	-0.035732012242078781	-0.03586839884519577	-0.035874079912900925	-0.0014900770038366318
0		-0.035732012242078781	-0.03586839884519577	-0.035874079912900925	-0.0014900770038366318
