 3D Run ID	I_C	Tables\0D Results\B-Field (Ms)_Y_0D_1	Tables\0D Results\B-Field (Ms)_Y_0D_2	Tables\0D Results\B-Field (Ms)_Y_0D_3	Tables\0D Results\B-Field (Ms)_Y_0D_4
1	4100	-0.14691835641860962	-0.14723792672157288		-0.0062631662003695965
2	4220	-0.15122306346893311	-0.15155170857906342		-0.0064471308141946793
3	4340	-0.1555277407169342	-0.15586547553539276		-0.0066310921683907509
4	4460	-0.1598324179649353	-0.16017922759056091		-0.0068150479346513748
5	4580	-0.16413703560829163	-0.16449292004108429		-0.0069989981129765511
6	4700	-0.16844165325164795	-0.16880665719509125		-0.0071829413063824177
7	4820	-0.17274625599384308	-0.17312029004096985		-0.007366877980530262
8	4940	-0.17705079913139343	-0.17743390798568726		-0.0075508067384362221
9	5060	-0.1813553124666214	-0.18174746632575989		-0.0077347271144390106
10	5180	-0.18565979599952698	-0.18606100976467133		-0.007918638177216053
11	5300	-0.18996497988700867	-0.19038867950439453	-0.19055837392807007	-0.00840802863240242
12	1	-3.0061433790251613e-05	-3.0131739549688064e-05	-3.0156972570694052e-05	-5.8371728073325357e-07
13	231.39130434782999	-0.0081972666084766388	-0.0082195242866873741	-0.0082257119938731194	-0.00035210381611250341
14	461.78260869565003	-0.016441898420453072	-0.016483359038829803	-0.016496675089001656	-0.00071562174707651138
15	692.17391304347996	-0.024695251137018204	-0.024755535647273064	-0.024776097387075424	-0.0010804942576214671
16	922.56521739130005	-0.032952599227428436	-0.033031512051820755	-0.033059392124414444	-0.0014459870290011168
17	1152.9565217391	-0.041212249547243118	-0.041309669613838196	-0.04134489968419075	-0.0018118353327736259
18	1383.3478260869999	-0.049473382532596588	-0.049589212983846664	-0.04963182657957077	-0.002177906222641468
19	1613.7391304348	-0.057735517621040344	-0.057869698852300644	-0.057919714599847794	-0.0025441257748752832
20	1844.1304347826001	-0.065998382866382599	-0.066150851547718048	-0.066208302974700928	-0.002910449868068099
21	2074.5217391304	-0.074261799454689026	-0.074432507157325745	-0.07449737936258316	-0.003276849165558815
22	2304.9130434783001	-0.082525625824928284	-0.082714542746543884	-0.082786858081817627	-0.003643303643912077
23	2535.3043478261002	-0.090789750218391418	-0.09099685400724411	-0.091076619923114777	-0.0040097986347973347
24	2765.6956521738998	-0.099054113030433655	-0.099279351532459259	-0.09936659038066864	-0.0043763229623436928
25	2996.0869565216999	-0.10731863975524902	-0.10756200551986694	-0.10765670239925385	-0.0047428663820028305
26	3226.4782608696	-0.11558330059051514	-0.11584477126598358	-0.1159469410777092	-0.0051094223745167255
27	3456.8695652174001	-0.12384804338216782	-0.1241275891661644	-0.12423724681138992	-0.0054759839549660683
28	3687.2608695652002	-0.13211283087730408	-0.13241042196750641	-0.13252755999565125	-0.0058425441384315491
29	3917.6521739129998	-0.14037761092185974	-0.14069327712059021	-0.14081789553165436	-0.0062091005966067314
30	4148.0434782609	-0.14864237606525421	-0.14897607266902924	-0.14910821616649628	-0.0065756435506045818
31	4378.4347826086996	-0.1569070965051651	-0.15725883841514587	-0.15739846229553223	-0.0069421720691025257
32	4608.8260869565001	-0.16517175734043121	-0.16554148495197296	-0.16568860411643982	-0.0073086805641651154
33	4839.2173913042998	-0.17343629896640778	-0.17382405698299408	-0.17397867143154144	-0.0076751625165343285
34	5069.6086956522004	-0.18170070648193359	-0.18210646510124207	-0.18226860463619232	-0.0080416137352585793
0		-0.18996497988700867	-0.19038867950439453	-0.19055837392807007	-0.00840802863240242
