 3D Run ID	I_C	Mesh Pass	Tables\0D Results\B-Field (Ms)_Y_0D_1	Tables\0D Results\B-Field (Ms)_Y_0D_2	Tables\0D Results\B-Field (Ms)_Y_0D_3	Tables\0D Results\B-Field (Ms)_Y_0D_4
1	0	1	0	0	0	0
2	378.57142857142998	2	-0.013547591865062714	-0.01357630081474781	-0.013600239530205727	-0.00057483057025820017
3	757.14285714285995	2	-0.027094092220067978	-0.027151498943567276	-0.02719937264919281	-0.0011494638165459037
4	1135.7142857143001	2	-0.040639445185661316	-0.040725525468587875	-0.040797349065542221	-0.0017238884465768933
5	1514.2857142856999	2	-0.054183583706617355	-0.054298337548971176	-0.054394088685512543	-0.0022980931680649519
6	1892.8571428570999	2	-0.067726440727710724	-0.067869842052459717	-0.067989543080329895	-0.0028720644768327475
7	2271.4285714286002	2	-0.081267952919006348	-0.081439986824989319	-0.081583611667156219	-0.0034457894507795572
8	2650	2	-0.094808027148246765	-0.095008663833141327	-0.095176242291927338	-0.0040192529559135437
9	3028.5714285713998	2	-0.1083466112613678	-0.10857582837343216	-0.10876735299825668	-0.0045924410223960876
10	3407.1428571429001	2	-0.1218835785984993	-0.12214137613773346	-0.12235682457685471	-0.0051653338596224785
11	3785.7142857142999	2	-0.13541886210441589	-0.13570518791675568	-0.13594460487365723	-0.0057379142381250858
12	4164.2857142857001	2	-0.14895230531692505	-0.14926718175411224	-0.14953051507472992	-0.0063101602718234062
13	4542.8571428571004	2	-0.16248384118080139	-0.16282723844051361	-0.1631145179271698	-0.0068820537999272346
14	4921.4285714285998	2	-0.17601336538791656	-0.17638523876667023	-0.17669644951820374	-0.0074535715393722057
15	5300	2	-0.18954074382781982	-0.18994107842445374	-0.19027623534202576	-0.0080246925354003906
0			-0.18954074382781982	-0.18994107842445374	-0.19027623534202576	-0.0080246925354003906
