 3D Run ID	I_C	Tables\0D Results\B-Field (Ms)_Y_0D_1	Tables\0D Results\B-Field (Ms)_Y_0D_2	Tables\0D Results\B-Field (Ms)_Y_0D_3	Tables\0D Results\B-Field (Ms)_Y_0D_4
1	1	-3.5690656659426168e-05	-3.5806602681986988e-05	-3.5815086448565125e-05	-1.4777588148717768e-06
2	442.58333333333002	-0.015828866511583328	-0.015886012464761734	-0.015889378264546394	-0.00066024495754390955
3	884.16666666667004	-0.031636804342269897	-0.031753696501255035	-0.031760253012180328	-0.0013218157691881061
4	1325.75	-0.047446098178625107	-0.047623146325349808	-0.047632869333028793	-0.0019836707506328821
5	1767.3333333333001	-0.063255041837692261	-0.063492372632026672	-0.063505269587039948	-0.0026454501785337925
6	2208.9166666667002	-0.079063013195991516	-0.079360663890838623	-0.079376719892024994	-0.003307051258161664
7	2650.5	-0.094869725406169891	-0.095227688550949097	-0.095246918499469757	-0.0039684148505330086
8	3092.0833333332998	-0.1106749027967453	-0.11109314113855362	-0.11111553013324738	-0.0046294927597045898
9	3533.6666666667002	-0.12647835910320282	-0.12695679068565369	-0.12698239088058472	-0.0052902474999427795
10	3975.25	-0.14227989315986633	-0.14281848073005676	-0.14284726977348328	-0.0059506404213607311
11	4416.8333333333003	-0.15807929635047913	-0.15867793560028076	-0.15870995819568634	-0.0066106319427490234
12	4858.4166666666997	-0.17387636005878448	-0.17453500628471375	-0.17457024753093719	-0.0072701014578342438
13	5300	-0.1896708607673645	-0.19038935005664825	-0.19042786955833435	-0.0079291528090834618
14	167.5	-0.0059850835241377354	-0.0060057369992136955	-0.0060070734471082687	-0.0002488312020432204
15	334	-0.011942529119551182	-0.01198513712733984	-0.011987712234258652	-0.00049771275371313095
16	500.5	-0.017901971936225891	-0.017966905608773232	-0.017970692366361618	-0.00074697367381304502
17	667	-0.023862235248088837	-0.023949654772877693	-0.023954648524522781	-0.00099639059044420719
18	833.5	-0.029822900891304016	-0.029932904988527298	-0.029939098283648491	-0.0012458846904337406
19	1000	-0.035783767700195313	-0.035916414111852646	-0.035923805087804794	-0.0014954179059714079
0		-0.035783767700195313	-0.035916414111852646	-0.035923805087804794	-0.0014954179059714079
